status_id,status_message,status_published
457376154351363_957195457702761,"PLEASE sort out your new DD SYSTEM As customers do not wish to pay twice on the same day for a pet insurance payment. Bank have dealt with mine and it appears thats a good thing from the other msgs. Also have wasted ages twice now trying to fill in form online and it lets you type for ages only to refuse to send ""with a fault "" at the end. Ridiculous and as my policy is due for renewal i am awaiting an HONEST response about why this has happened to so many people. £72.10 taken twice yesterday was thankfully spotted before more damage was done so i am unwilling to chance the new policy amount of £81.  a month if you are likely to do the same again. Please explain.",2016-01-04 22:38:15
457376154351363_956892854399688,"Let M&S Bank help you make the smart move in 2016. Whether it's a change in lifestyle, career or simply trying something new. Keep your eyes peeled in the coming weeks for plenty of hints and tips to keep you inspired.",2016-01-04 13:30:00
457376154351363_956781174410856,BEWARE they have taken my policy payment twice today and say they don't know when they will get it sorted and expect me now to spend even more time calling my bank to sort it myself. Straight after Xmas with large workload today and less funds in my account than normal - VERY POOR RESPONSE FROM THEIR CALL CENTRE,2016-01-04 07:10:43
457376154351363_956717881083852,Taking down the Christmas tree? Wrap fairy lights around a coat hanger to store them safely.,2016-01-04 06:00:00
457376154351363_956701087752198,,2016-01-04 03:43:28
457376154351363_956401534448820,"Never signed up for Insurance Servicing so dont know why M&S Insurance think they can just dip into my credit card and swift away my cash.
very sharp practice and you cant email them about it, very disappointed with M&S",2016-01-03 12:29:37
457376154351363_955936907828616,Do premier account holders still get vouchers for afternoon tea for their birthday as I have not received mine,2016-01-02 15:16:22
457376154351363_955106104578363,Have you any crackers left ? Are they in the Sale?,2016-01-01 06:50:35
457376154351363_955104074578566,"Hi, just wondering why the M&S Customer Services Insurance number is closed today, when the website clearly states open 9.00 - 5.00 on Bank Holidays?",2016-01-01 06:42:54
457376154351363_954835171272123,Happy New Year from everyone at M&S Bank! Get ready for an exciting 2016…,2015-12-31 19:00:10
457376154351363_954406194648354,Is there a problem with the mobile App?,2015-12-31 05:27:31
457376154351363_954038818018425,"I recently applied for a £10000 loan from M&S Bank which had a very good interest rate advertised. I was surprised to get knocked back for the loan since I have never had any issues with credit before and the repayments were well within my budget. I called your customer services to find out why I was knocked back and I was told it was because of my credit rating, as determined by Experian.

So I signed up to Experian yesterday to find out what my credit score is, and here is what I don't understand....

Low and behold, Experian have given me a rating of 979 out of 999 and they call this an 'Excellent' credit rating.

There is no higher classification.

So how exactly did my credit rating result in M&S knocking back my application? How high a credit rating do I need to have before I qualify for an M&S loan? 999 out of 999?",2015-12-30 13:38:04
457376154351363_953237121431928,"My dog needed an emergency Caesarian on Xmas day.. Imagine my disgust to find out my pet insurance does not cover this, however had she died, rather than have this life-saving treatment you would have paid out. Thanks for nothing!",2015-12-29 04:37:01
457376154351363_952608478161459,Asked for your help a couple of weeks ago now. Told to email details which I did. Followed up twice since and no reply.  Really disappointing customer service. Please cancel my credit card account with immediate effect,2015-12-28 03:02:15
457376154351363_950564595032514,Merry Christmas from everyone at M&S Bank!,2015-12-25 04:00:03
457376154351363_947870108635296,"Could you please explain that when I paid my pet insurance up by Visa debit, this came to light. And I have now written a letter to your Pet division for an answer!!

But while we are on the subject of money, can you please explain why my payment went into a Spanish account, or are M&S just another rogue company avoiding paying tax in the UK. I live in the UK & so do my dogs, so why the hell is my money going out of the country?

09 Nov 2015 Visa purchase M&S PET INSURANCE MADRID ES 0000
  
 
 I wait your reply, as to whether or not I stay insured with yourselves, and I will be sharing this fact on Facebook, I thought by using M&S the company had morals and supported the UK!",2015-12-20 11:39:59
457376154351363_946433648778942,Christmas is about being with loved ones. Make sure you don't miss a minute by laying the table the night before.,2015-12-20 06:00:00
457376154351363_947461535342820,Thanks for the counterfeit note from your bureau de change which has now left me out of pocket! Brilliant!,2015-12-19 14:22:29
457376154351363_947310632024577,I have just spent the last 11 Mins on the phone to your bank and recieved the most ridiculous service from your staff!!!,2015-12-19 07:02:40
457376154351363_946913992064241,"Disgraceful service provided by the Bureau de Change at your Glasgow Sauchiehall Street store.  I have attempted to buy foreign currency from your store three times this past week and three times I have been refused.  The first time, I attempted to buy using my debit card and was informed I must have photo ID; this was my fault for not being prepared.  The second visit, on Tuesday of this week, I brought along my passport only to be told it couldn't be accepted because it expired last August.  Amazing! I can use an expired passport two years after its expiration date to fly domestically within the UK, but not to buy foreign currency from M&S.  During my second attempt, your bureau assistant did inform me that he could sell me the currency (Canadian Dollars) as a cash transaction without ID, which leads me onto my final attempt, this afternoon.  My aunt went in my place this time and attempted to purchase currency in cash.  She didn't have any ID on her and was once again refused! Apparently your policy has changed since Tuesday? What an utter load of nonsense!",2015-12-18 09:29:47
457376154351363_946433238778983,"Make (and freeze) cranberry and bread sauce before Christmas Day, so you don't miss a minute of family fun.",2015-12-17 13:00:00
